X (m),Y (m),Theta (rad)
4.634368104312251,-0.5747921870949068,-0.11811873646793955
4.724114037522611,-0.584314058708697,-0.11794545198738912
4.789041305250672,-0.5909519855365394,-0.11858642403758236
4.852441558462523,-0.5977196588368578,-0.11967662662371821
4.939333592173063,-0.6069637937342218,-0.11908577309533609
5.0045287788615225,-0.6147115014630744,-0.11906890660583387
5.09819841131574,-0.6253693122272573,-0.11695579138788052
5.187304058816307,-0.6382010762321582,-0.11710432025605612
5.27755899708773,-0.6454432785355488,-0.11878365488299335
5.367594325431101,-0.6560250380365645,-0.11805173784698814
5.459008103576677,-0.6670868727215015,-0.11892171545692846
5.550084376846996,-0.675900757000422,-0.11981321162141091
5.7686153276312035,-0.7019399992483509,-0.11787177609467302
5.86129524365159,-0.7110797323332204,-0.11869038499713278
6.008245977425655,-0.733746261971603,-0.11883719741666633
6.159517257454443,-0.7498622272889913,-0.12011705035717385
6.251798265363817,-0.7646970037199254,-0.1199932210017953
6.343104599617926,-0.7768869138988244,-0.12294275089784046
6.4362968680052095,-0.7880513671167623,-0.12273888053773095
6.592000660044352,-0.8071216319184437,-0.12332316137403565
6.654450684129546,-0.8146507712887671,-0.12285605704945424
6.770722329065984,-0.8321438338860203,-0.12242123136826599
6.891852699474171,-0.8449597870985432,-0.12211259010627831
6.952994418111265,-0.8513684372656565,-0.12105071254902514
7.070055805156715,-0.8650754787788905,-0.12236281400005264
7.1894501691511605,-0.8792098908920991,-0.1216899770825968
7.252351413452213,-0.8866416224756988,-0.1220089607522011
7.374640812778059,-0.9004324389101808,-0.12227071794798468
7.498806376753185,-0.9143679969265779,-0.11987091433674153
7.587140438770731,-0.9218918140757962,-0.11970975592254085
7.675789954003137,-0.9308968505522407,-0.11968533738653456
7.7673722268424985,-0.939995094227719,-0.11685625428553495
7.910584461357165,-0.9549870177056264,-0.11594805249741866
8.063389104097412,-0.9700732015966086,-0.11435797137449728
8.159858968250898,-0.9777011170238245,-0.11138451147474027
8.308640463775326,-0.9946399152255071,-0.10871822296127535
8.391923476161843,-1.0217297953408808,-0.10552185178833726
8.480500157805569,-1.0313228828395846,-0.10493898305406207
8.595575777874116,-1.0422928527225308,-0.10152023689608247
8.70788295265935,-1.0770820711548883,-0.09808726285300032
8.768097089713319,-1.0839327178292748,-0.09827356975323812
8.835397515401912,-1.1187824204466612,-0.09369507733530767
8.87274227809932,-1.137155147151492,-0.09166568425764168
8.919655325324849,-1.1659708613552908,-0.08806055974077207
9.039093437829537,-1.1761596035572417,-0.08737087284905627
9.15925519601633,-1.1860856354458762,-0.08696318336270203
9.220726624831793,-1.1915256244382322,-0.08846988544030206
9.343680048303822,-1.2025062400905666,-0.08815612887365229
9.465447580723056,-1.2133445384886727,-0.08896135750044461
9.587115492108854,-1.2232639830841427,-0.0894068301523035
9.654925667006198,-1.2292661898471986,-0.08901176387911404
9.74477657736909,-1.2361246876426801,-0.08829861360252073
9.80806192148515,-1.2407990608098163,-0.08797907079378486
9.92652207146329,-1.247020587679543,-0.08757408076973074
10.047995573961233,-1.2606947635212176,-0.08436416350581381
10.168320157186292,-1.268791224108559,-0.08415690289547464
10.232372771849398,-1.2732181909129745,-0.08306641296640639
10.295809266221122,-1.277796725111164,-0.08175147146238322
10.543093978770893,-1.2941290068935394,-0.08184127461452756
10.610600913275995,-1.2994102505322411,-0.08136431065354784
10.736763452572431,-1.3079373613727856,-0.07960466580815342
10.83167353402242,-1.3133220566419046,-0.07972299178446783
10.896576020121088,-1.3184681090811246,-0.07891161145033043
10.958446819059484,-1.3226192560050984,-0.08031569027085937
11.077332307986884,-1.3279350927779536,-0.07810010092166753
11.141832206579199,-1.3319425722979066,-0.07775872005301857
11.202457336471598,-1.3363606367261491,-0.07818292267379498
11.26157066858062,-1.3394769756377953,-0.07853737597497414
11.379275694224136,-1.3478043816031382,-0.07678279753831942
11.49554990537385,-1.3557216050932577,-0.08174618543876824
11.553897250202029,-1.3571076939559912,-0.08046855834401716
